latitude,longitude,acq_date,acq_time,class
38.1057,23.7039,2023-08-12,2006,not fire
40.9592,26.0615,2023-08-12,902,not fire
41.1209,26.0695,2023-08-04,1950,not fire
38.1731,22.2268,2023-07-03,2057,not fire
36.0949,27.9392,2023-07-23,104,fire
41.1383,26.1354,2023-08-31,1132,fire
38.1603,22.1719,2023-08-02,2057,not fire
38.2434,22.8708,2023-08-02,44,not fire
40.9437,25.9921,2023-08-21,822,fire
41.2031,26.1906,2023-08-21,27,not fire
40.8873,26.0729,2023-08-20,57,fire
38.1151,20.7472,2023-08-03,2031,not fire
38.1772,23.5258,2023-07-28,808,not fire
38.1776,22.1911,2023-07-13,1919,not fire
36.0847,27.9166,2023-08-13,1111,not fire
39.7561,19.8903,2023-08-02,2058,not fire
40.9955,26.0064,2023-08-21,1926,fire
40.9472,26.0866,2023-08-02,1148,not fire
41.1585,25.2433,2023-08-01,1926,not fire
38.1846,23.4761,2023-07-07,2009,not fire
41.0757,26.1662,2023-08-12,43,not fire
36.2218,28.0248,2023-07-24,8,fire
39.765,19.8626,2023-08-14,49,not fire
38.1243,23.5952,2023-08-13,944,not fire
38.1382,23.6729,2023-08-02,2006,not fire
38.1536,23.518,2023-08-06,2009,not fire
41.0025,26.1451,2023-08-23,805,fire
36.0612,27.8905,2023-07-15,1152,not fire
36.0946,27.944,2023-07-23,104,fire
40.9258,25.8863,2023-08-12,43,not fire
40.9471,25.8457,2023-08-12,902,not fire
36.2015,27.9406,2023-07-12,914,not fire
38.2491,22.7924,2023-08-24,29,fire
41.0952,26.1643,2023-08-31,1926,not fire
38.1487,23.5349,2023-07-28,1154,not fire
36.1272,27.9492,2023-07-03,1207,not fire
36.0516,27.9139,2023-08-04,2354,not fire
41.0625,26.001,2023-08-22,2007,fire
36.1968,27.9221,2023-07-31,1935,not fire
40.9047,25.843,2023-08-22,43,fire
40.9347,25.7673,2023-08-02,1148,not fire
41.0404,26.016,2023-08-02,902,not fire
40.9872,26.1387,2023-08-12,902,not fire
40.9811,26.1312,2023-08-02,1148,not fire
41.5852,26.4849,2023-07-29,848,not fire
41.0198,26.1738,2023-08-12,2007,not fire
38.2453,22.8913,2023-08-31,822,not fire
38.0373,23.4094,2023-07-18,1912,fire
36.111,27.9306,2023-07-24,857,fire
37.1049,25.5254,2023-07-24,1223,not fire
36.0651,27.9043,2023-07-25,50,fire
41.1727,26.1376,2023-08-30,1901,fire
39.3473,22.8038,2023-08-16,35,not fire
36.1238,27.9527,2023-07-13,104,not fire
36.0959,27.9136,2023-07-14,1111,not fire
41.1505,25.5234,2023-08-22,1148,fire
41.0462,24.7025,2023-08-11,1926,not fire
40.9919,25.9885,2023-08-01,1926,not fire
40.9449,26.0306,2023-08-01,1106,not fire
39.754,19.854,2023-07-13,2058,not fire
40.9481,25.8918,2023-08-21,1926,fire
39.3934,22.8254,2023-07-27,35,fire
41.1228,26.1332,2023-08-26,1119,fire
38.1545,23.4438,2023-07-28,946,not fire
36.2222,27.9888,2023-07-13,817,not fire
39.3426,22.8431,2023-07-27,35,fire
36.0677,27.9165,2023-07-24,1959,fire
40.9042,25.7486,2023-08-02,1148,not fire
41.1337,26.0828,2023-08-18,1918,not fire
40.8977,25.9608,2023-08-29,1943,not fire
38.1681,23.5328,2023-07-28,808,not fire
41.0741,26.1728,2023-08-01,1926,not fire
38.1383,23.5257,2023-08-07,1154,not fire
38.1576,23.4967,2023-07-08,51,not fire
38.1261,23.6059,2023-08-14,29,not fire
40.9699,25.8789,2023-08-11,1926,not fire
41.1918,26.257,2023-08-11,1942,not fire
41.1197,26.1172,2023-08-06,1119,not fire
40.9922,25.9344,2023-08-12,902,not fire
40.9668,25.7672,2023-08-22,2007,fire
41.2128,26.1643,2023-08-10,1901,not fire
37.9326,23.0254,2023-07-18,2049,fire
36.0475,27.9084,2023-08-13,1111,not fire
40.9299,25.9168,2023-08-21,1926,fire
38.1377,23.6739,2023-08-13,2047,not fire
41.0487,26.2051,2023-08-26,1934,fire
41.5852,26.4849,2023-07-09,848,not fire
38.0538,23.4282,2023-07-09,849,not fire
40.9625,25.906,2023-08-21,1926,fire
36.0416,27.8846,2023-07-15,1152,not fire
41.0318,26.0912,2023-08-22,43,fire
41.0002,26.1391,2023-08-23,805,fire
36.0812,27.9085,2023-07-06,841,not fire
38.1769,22.1707,2023-08-12,2057,not fire
36.1272,27.9492,2023-07-23,1207,fire
40.9305,25.8251,2023-08-22,902,fire
36.2012,27.948,2023-07-31,1935,not fire
39.3948,22.8933,2023-07-27,35,fire
36.1088,27.9203,2023-07-13,1919,not fire
40.9149,25.8959,2023-08-02,43,not fire
38.0053,24.5382,2023-08-03,8,not fire
36.1095,27.9242,2023-07-24,857,fire
41.0064,25.9454,2023-08-31,1926,not fire
41.0198,26.1738,2023-08-02,2007,not fire
40.8676,26.0471,2023-08-10,919,not fire
40.8659,26.0523,2023-08-20,1202,fire
40.8958,25.8407,2023-08-12,43,not fire
39.3516,22.7402,2023-07-06,1235,not fire
41.0929,26.1505,2023-08-21,1106,fire
38.2514,23.8373,2023-07-26,1142,not fire
38.1289,23.4574,2023-07-18,1154,fire
41.1564,26.1459,2023-08-11,1942,not fire
38.1629,22.2028,2023-07-03,1919,not fire
40.9907,25.9985,2023-08-02,43,not fire
38.2491,22.7924,2023-08-04,29,not fire
41.0989,26.1912,2023-08-22,1148,fire
40.9279,25.8394,2023-08-22,902,fire
40.8567,26.0732,2023-08-20,1202,fire
40.9402,25.8278,2023-08-12,902,not fire
41.1095,26.1424,2023-08-22,1148,fire
36.0954,27.9041,2023-08-15,1943,not fire
38.1383,23.6317,2023-08-24,1133,fire
40.8734,25.8041,2023-08-22,43,fire
41.0488,26.1589,2023-08-12,43,not fire
39.3321,22.8206,2023-08-06,35,not fire
36.2188,27.9655,2023-07-03,817,not fire
40.8948,25.6672,2023-08-22,2007,fire
36.2372,28.0019,2023-07-13,104,not fire
37.0961,25.5033,2023-07-05,24,not fire
38.0477,23.4743,2023-07-09,849,not fire
39.3018,22.8475,2023-08-06,1139,not fire
40.9153,26.071,2023-08-29,1943,not fire
41.1677,26.118,2023-08-10,1050,not fire
40.9837,25.9839,2023-08-12,43,not fire
38.163,23.4764,2023-08-07,808,not fire
36.1246,27.93,2023-08-11,2016,not fire
36.0796,27.8853,2023-08-15,1056,not fire
37.7602,23.9623,2023-07-17,2009,fire
36.1873,27.9247,2023-07-21,1935,fire
38.1781,23.4814,2023-07-08,1154,not fire
36.108,27.9387,2023-07-12,2016,not fire
40.8856,25.788,2023-08-12,43,not fire
38.416,23.1678,2023-08-12,1919,not fire
40.9685,25.9048,2023-08-22,43,fire
36.1254,27.9414,2023-07-03,1207,not fire
36.237,27.9205,2023-07-19,1058,fire
38.0432,23.4379,2023-07-29,849,not fire
36.1256,27.9389,2023-08-02,1919,not fire
38.0061,24.5333,2023-08-02,1919,not fire
41.1337,26.1682,2023-08-26,1119,fire
38.1669,23.48,2023-08-06,2009,not fire
40.908,25.8065,2023-08-11,1926,not fire
41.0244,25.9784,2023-08-31,1926,not fire
40.9851,26.0133,2023-08-12,1148,not fire
36.2189,27.9777,2023-07-12,2016,not fire
38.1609,23.523,2023-07-18,808,fire
38.1778,23.4892,2023-07-28,51,not fire
39.3416,22.8225,2023-07-07,35,not fire
38.1236,23.468,2023-07-28,808,not fire
38.1719,23.5248,2023-08-07,51,not fire
36.1348,27.9528,2023-07-13,817,not fire
36.0586,27.9049,2023-08-13,1111,not fire
40.9865,26.0308,2023-08-02,902,not fire
41.0328,26.142,2023-08-12,43,not fire
38.9347,22.0707,2023-08-12,1147,not fire
39.3522,22.7633,2023-07-07,35,not fire
40.9197,25.7966,2023-08-02,1148,not fire
41.0917,26.1837,2023-08-22,43,fire
36.1514,27.9478,2023-07-11,1935,not fire
41.1229,26.0589,2023-08-26,829,fire
41.0357,26.1843,2023-08-17,1201,not fire
40.9173,25.8301,2023-08-02,902,not fire
38.0432,23.4379,2023-07-09,849,not fire
38.1467,23.6289,2023-08-24,1950,fire
38.1481,23.5498,2023-07-29,849,not fire
41.0182,26.1583,2023-08-12,2007,not fire
36.138,27.9592,2023-07-13,104,not fire
40.9844,25.8932,2023-08-11,1926,not fire
40.9078,25.6948,2023-08-12,2007,not fire
36.1936,27.9874,2023-08-02,104,not fire
41.1139,26.2093,2023-08-14,1133,not fire
38.1286,23.647,2023-08-13,944,not fire
41.149,26.0904,2023-08-10,1050,not fire
38.1661,23.4608,2023-07-28,1154,not fire
40.97,25.9443,2023-08-21,1926,fire
38.0245,24.5274,2023-08-04,50,not fire
41.0374,25.8924,2023-08-06,1119,not fire
40.9347,25.7673,2023-08-22,1148,fire
38.1677,23.4721,2023-07-28,1154,not fire
40.9556,25.8706,2023-08-31,1926,not fire
38.1309,23.5392,2023-08-07,1154,not fire
41.094,26.0932,2023-08-12,1148,not fire
38.0111,24.5348,2023-08-03,857,not fire
38.0417,23.4495,2023-07-09,849,not fire
41.0492,26.1038,2023-08-31,1926,not fire
38.0111,24.5348,2023-07-24,857,fire
38.5413,23.6422,2023-08-01,1926,not fire
40.9881,25.9116,2023-08-31,1926,not fire
38.1282,23.5018,2023-07-18,51,fire
36.23,27.9426,2023-08-08,850,not fire
38.0495,23.4427,2023-07-19,1058,fire
40.8468,26.0722,2023-08-11,1106,not fire
41.0896,26.1931,2023-08-22,1148,fire
38.0917,23.4608,2023-07-18,1154,fire
36.201,27.9643,2023-07-22,2016,fire
36.2602,27.9083,2023-07-29,1952,not fire
36.215,27.9839,2023-07-12,2016,not fire
40.9552,25.7537,2023-08-12,2007,not fire
40.9572,26.0263,2023-08-11,1106,not fire
38.3937,23.2157,2023-08-12,1208,not fire
38.0844,23.4743,2023-08-07,1154,not fire
36.1141,27.9502,2023-07-03,1207,not fire
40.9522,25.7251,2023-08-02,2007,not fire
36.2414,27.9526,2023-08-01,2016,not fire
39.349,22.7901,2023-07-07,35,not fire
40.9165,25.7716,2023-08-12,1148,not fire
40.9843,25.9582,2023-08-31,1926,not fire
41.1937,26.2691,2023-08-21,1942,not fire
38.0344,23.4003,2023-08-08,1058,not fire
36.1608,27.9244,2023-07-22,2016,fire
40.9373,25.8954,2023-08-11,1926,not fire
41.0398,26.1565,2023-08-22,43,fire
41.0602,26.0435,2023-08-11,1926,not fire
41.0098,26.0539,2023-08-22,43,fire
39.3211,22.8315,2023-07-17,35,not fire
37.3218,24.3953,2023-08-12,44,not fire
36.2131,27.9624,2023-08-11,2016,not fire
41.1227,26.1515,2023-08-14,1133,not fire
36.2149,28.045,2023-07-04,1111,not fire
36.2082,27.9921,2023-08-12,104,not fire
41.0611,26.0421,2023-08-12,1148,not fire
40.9157,25.767,2023-08-12,2007,not fire
36.056,27.9266,2023-08-14,1902,not fire
38.1172,23.5112,2023-07-18,51,fire
36.0781,27.857,2023-08-04,2040,not fire
40.8904,26.0569,2023-08-10,57,not fire
38.3955,22.7731,2023-08-24,847,fire
40.9554,25.9287,2023-08-31,1926,not fire
40.9805,25.8859,2023-08-22,902,fire
41.015,26.1566,2023-08-13,124,not fire
39.3711,22.8146,2023-08-15,1235,not fire
41.1189,26.1489,2023-08-12,2007,not fire
40.8889,25.9569,2023-08-09,1943,not fire
40.9698,26.0027,2023-08-22,902,fire
36.2397,27.945,2023-07-19,850,fire
41.0012,26.1399,2023-08-02,1148,not fire
38.1185,23.4479,2023-07-18,1154,fire
36.0556,27.9094,2023-07-24,857,fire
40.9412,26.0729,2023-08-22,43,fire
36.077,27.9376,2023-08-12,817,not fire
41.138,25.2021,2023-08-31,1926,not fire
41.0779,26.0753,2023-08-31,1926,not fire
40.9244,25.8476,2023-08-02,902,not fire
39.7401,19.8749,2023-07-04,2000,not fire
38.2492,22.8644,2023-08-02,1147,not fire
40.8671,25.7708,2023-08-22,902,fire
38.1376,23.5597,2023-07-09,849,not fire
39.3426,22.8431,2023-07-07,35,not fire
38.0495,23.4427,2023-07-29,1058,not fire
38.0538,23.4282,2023-08-08,849,not fire
36.1955,27.981,2023-08-12,104,not fire
38.8982,22.4226,2023-07-26,1235,fire
38.3753,23.2448,2023-08-12,1147,not fire
41.1922,26.1674,2023-08-10,1901,not fire
40.9533,25.8302,2023-08-12,2007,not fire
36.2184,27.9965,2023-07-13,1919,not fire
36.0205,27.8826,2023-07-16,841,not fire
38.1293,23.6748,2023-08-12,2006,not fire
37.6703,21.5043,2023-08-08,1124,not fire
38.1383,23.5257,2023-07-28,1154,not fire
41.0263,26.1507,2023-08-12,902,not fire
36.1202,27.9274,2023-07-14,857,not fire
41.0387,26.1648,2023-08-02,1148,not fire
38.0301,24.5187,2023-07-14,2000,not fire
40.8659,26.0523,2023-08-30,1202,not fire
39.4113,22.8708,2023-08-05,1944,not fire
36.245,27.9694,2023-08-02,104,not fire
36.0857,27.9639,2023-07-22,2016,fire
40.9915,25.9361,2023-08-21,1926,fire
38.1483,23.4647,2023-08-07,1154,not fire
36.0735,27.9199,2023-07-14,1111,not fire
38.3195,22.7295,2023-08-02,1147,not fire
36.2015,27.9406,2023-08-11,914,not fire
40.8676,26.0471,2023-08-30,919,not fire
38.1758,23.4989,2023-07-28,946,not fire
36.1627,27.9468,2023-07-12,2016,not fire
39.3787,22.7347,2023-07-26,1235,fire
36.1487,27.9265,2023-07-22,2016,fire
38.1354,23.516,2023-07-28,51,not fire
38.9347,22.0707,2023-08-02,1147,not fire
36.0873,27.916,2023-07-25,1902,fire
40.8716,26.0257,2023-08-19,1943,fire
37.8177,23.9083,2023-08-06,2009,not fire
38.1739,23.5128,2023-07-28,51,not fire
36.193,28.0059,2023-08-02,1207,not fire
38.1068,23.6664,2023-08-12,1147,not fire
41.1586,25.2342,2023-08-12,43,not fire
40.9188,25.8717,2023-08-22,43,fire
36.0205,27.8826,2023-08-05,841,not fire
38.1086,23.6778,2023-08-22,1147,fire
38.1665,23.5483,2023-07-19,849,fire
38.1781,23.4814,2023-07-18,1154,fire
37.3307,24.3974,2023-08-22,44,fire
40.9957,26.1342,2023-08-03,943,not fire
36.21,27.9859,2023-07-13,104,not fire
36.0509,27.8921,2023-08-14,1152,not fire
39.3442,22.83,2023-07-07,35,not fire
40.9637,26.0935,2023-08-22,902,fire
36.1736,27.9898,2023-07-23,817,fire
40.9491,25.6961,2023-08-22,2007,fire
36.2114,28.0274,2023-08-03,1111,not fire
39.7935,19.8802,2023-08-14,1154,not fire
36.1877,28.0142,2023-07-23,104,fire
41.1422,26.0802,2023-08-07,1201,not fire
41.0117,26.042,2023-08-02,43,not fire
40.8739,25.7311,2023-08-02,1148,not fire
38.0188,24.5317,2023-07-14,1111,not fire
36.2188,27.9655,2023-07-13,817,not fire
39.3137,22.8022,2023-08-16,1139,not fire
40.8786,25.9765,2023-07-31,57,not fire
36.1498,27.9313,2023-08-02,1919,not fire
38.1861,23.4873,2023-07-07,2009,not fire
36.0597,27.9464,2023-07-12,2016,not fire
36.2228,27.9264,2023-07-29,850,not fire
40.9428,25.8135,2023-08-12,902,not fire
40.8825,26.0355,2023-08-29,1943,not fire
38.8982,22.4226,2023-07-16,1235,not fire
38.318,22.7304,2023-08-02,44,not fire
36.1302,27.9322,2023-07-04,8,not fire
39.3384,22.8487,2023-07-07,35,not fire
36.2015,27.9406,2023-08-01,914,not fire
40.8909,25.9691,2023-07-30,1943,not fire
38.1629,22.2028,2023-07-23,1919,fire
40.9911,26.1788,2023-08-14,846,not fire
39.3019,22.7915,2023-07-27,1139,fire
38.1262,23.5139,2023-07-18,51,fire
41.0656,26.2081,2023-08-06,1119,not fire
41.1291,26.0885,2023-08-07,1201,not fire
38.1776,22.1911,2023-08-02,1919,not fire
40.9471,25.6889,2023-08-03,943,not fire
40.9898,25.7932,2023-08-12,2007,not fire
39.2294,22.4986,2023-08-12,1147,not fire
38.1192,23.4991,2023-07-08,51,not fire
40.8818,25.812,2023-08-12,43,not fire
38.1249,23.6412,2023-08-12,2006,not fire
36.1312,27.9305,2023-07-23,817,fire
39.3411,22.856,2023-08-06,35,not fire
39.3566,22.7402,2023-07-07,1139,not fire
36.0474,27.8921,2023-08-15,1943,not fire
41.0268,26.0644,2023-08-02,43,not fire
36.1736,27.9898,2023-07-13,817,not fire
40.9948,26.0121,2023-08-11,1926,not fire
38.0285,24.5076,2023-07-24,2000,fire
39.7634,19.875,2023-08-04,49,not fire
41.0099,25.9632,2023-08-11,1926,not fire
38.1668,23.4442,2023-07-08,946,not fire
39.765,19.8626,2023-07-15,49,not fire
40.9671,26.0173,2023-08-12,902,not fire
36.1071,27.9104,2023-07-14,1111,not fire
40.8676,26.0706,2023-08-10,1202,not fire
36.116,27.9828,2023-08-02,104,not fire
41.1442,26.1873,2023-08-31,1942,fire
40.8786,25.9765,2023-08-20,57,fire
38.0873,23.6593,2023-08-22,1147,fire
38.0448,23.4262,2023-07-29,849,not fire
36.2222,27.9888,2023-07-03,817,not fire
38.1619,22.2399,2023-08-12,1919,not fire
40.8772,25.7802,2023-08-12,43,not fire
36.0658,27.9295,2023-07-03,104,not fire
40.9759,26.0152,2023-08-02,1148,not fire
40.8734,25.8041,2023-08-02,43,not fire
40.9148,25.8442,2023-08-12,902,not fire
40.9419,26.0112,2023-08-21,822,fire
40.9811,26.1312,2023-08-22,1148,fire
38.3305,22.7389,2023-08-02,1147,not fire
41.0911,26.0787,2023-08-03,1052,not fire
39.765,19.8626,2023-08-04,49,not fire
36.237,27.9205,2023-07-09,1058,not fire
36.0776,27.8773,2023-07-25,1902,fire
41.0136,25.9815,2023-08-31,1926,not fire
38.1887,23.4981,2023-07-28,946,not fire
39.3668,22.7401,2023-07-06,1235,not fire
41.0971,26.1185,2023-08-02,1148,not fire
41.1013,26.196,2023-08-02,902,not fire
40.9918,25.9302,2023-08-11,1926,not fire
36.2324,27.9293,2023-07-19,850,fire
36.2003,28.0302,2023-07-24,1111,fire
38.1456,23.5162,2023-07-28,1912,not fire
38.3448,22.7364,2023-08-12,44,not fire
36.0665,27.9358,2023-07-23,817,fire
36.0458,27.8769,2023-07-17,36,not fire
36.2207,27.999,2023-07-22,2016,fire
36.2235,27.9253,2023-07-19,1058,fire
41.0136,26.0394,2023-08-11,1926,not fire
40.9154,25.9019,2023-08-31,1926,not fire
40.9735,25.8683,2023-08-02,902,not fire
39.3273,22.8597,2023-07-07,35,not fire
38.129,23.6455,2023-08-23,1909,fire
36.2117,27.9872,2023-07-03,817,not fire
36.1256,27.9182,2023-08-03,1959,not fire
38.1595,23.4933,2023-07-17,2009,fire
40.8798,26.0516,2023-08-20,919,fire
40.8856,25.788,2023-08-02,43,not fire
38.1404,23.6717,2023-08-14,29,not fire
41.1901,25.558,2023-08-31,1106,not fire
38.0471,23.4449,2023-07-18,2049,fire
36.0406,27.8934,2023-07-25,1152,fire
38.1151,23.5232,2023-07-18,51,fire
41.0127,26.0454,2023-08-31,1926,not fire
41.0615,26.0694,2023-08-22,902,fire
36.1433,27.9398,2023-08-03,857,not fire
40.9962,26.0336,2023-08-22,902,fire
38.0949,23.4837,2023-07-18,1154,fire
40.8683,25.7779,2023-08-12,43,not fire
38.0855,23.6478,2023-08-12,1147,not fire
39.7732,19.874,2023-07-25,1154,fire
41.1365,26.1386,2023-08-21,1942,not fire
38.0303,24.5449,2023-08-03,8,not fire
36.0714,27.8883,2023-07-15,1152,not fire
41.064,24.6989,2023-08-12,43,not fire
40.9126,25.7315,2023-08-02,2007,not fire
38.2429,22.7955,2023-08-13,2047,not fire
36.2214,27.9824,2023-07-13,1207,not fire
38.0828,23.4629,2023-07-28,1154,not fire
40.8772,25.7802,2023-08-22,43,fire
40.9326,25.7171,2023-08-03,1052,not fire
36.0873,27.916,2023-07-05,1902,not fire
36.1207,27.9288,2023-08-02,817,not fire
41.1861,26.1737,2023-08-31,27,fire
38.1219,23.6881,2023-08-12,2006,not fire
36.1004,27.9268,2023-07-04,8,not fire
39.3411,22.856,2023-07-07,35,not fire
41.217,26.1987,2023-08-10,1901,not fire
38.3459,21.5498,2023-08-02,2006,not fire
41.0407,26.0937,2023-08-12,43,not fire
38.3921,23.201,2023-07-03,1208,not fire
36.043,27.8634,2023-08-04,2040,not fire
36.0664,27.9123,2023-08-03,857,not fire
41.1423,26.1751,2023-08-31,1942,fire
36.1246,27.93,2023-08-01,2016,not fire
41.0722,25.9473,2023-08-19,1146,not fire
41.0495,26.1756,2023-08-02,1148,not fire
41.0578,26.1615,2023-08-22,43,fire
36.2084,27.9998,2023-07-22,2016,fire
38.1418,23.5605,2023-07-29,1952,not fire
36.0409,27.8908,2023-07-25,2354,fire
36.1877,27.9356,2023-07-22,914,fire
38.1456,23.5162,2023-07-08,1912,not fire
38.1772,23.5426,2023-07-28,946,not fire
40.9411,25.8172,2023-08-02,1148,not fire
41.1337,26.1682,2023-08-16,1119,not fire
41.1637,26.0842,2023-08-10,1228,not fire
40.9734,26.0965,2023-08-02,902,not fire
36.0959,27.9111,2023-07-24,1959,fire
40.981,26.0585,2023-08-02,43,not fire
38.0389,24.5341,2023-08-13,857,not fire
39.3449,22.796,2023-08-16,35,not fire
41.0741,26.0635,2023-08-02,902,not fire
38.0373,23.4094,2023-07-28,1912,not fire
40.9488,26.0993,2023-08-12,1148,not fire
40.955,25.8525,2023-08-22,1148,fire
40.9767,26.021,2023-08-02,902,not fire
40.9219,25.9103,2023-08-22,43,fire
38.0972,23.5746,2023-08-03,1137,fire
40.9556,25.8706,2023-08-01,1926,not fire
36.0836,27.8872,2023-07-27,36,fire
40.897,26.1099,2023-08-01,1926,not fire
39.3996,22.8539,2023-08-16,35,not fire
36.9645,22.5541,2023-07-19,1236,fire
38.2507,22.884,2023-08-12,44,not fire
41.0334,26.1684,2023-08-02,902,not fire
38.2453,22.8363,2023-08-02,2006,not fire
36.1202,27.9274,2023-07-04,857,not fire
41.0328,26.142,2023-08-22,43,fire
36.087,27.9727,2023-08-12,104,not fire
39.7405,19.8493,2023-08-02,2058,not fire
36.1096,27.9433,2023-07-13,104,not fire
36.1251,27.9242,2023-08-02,1207,not fire
36.242,27.9317,2023-07-29,850,not fire
36.2303,27.9332,2023-07-18,2355,fire
38.129,23.6013,2023-08-13,944,not fire
41.1792,25.5293,2023-08-02,1148,not fire
40.9842,25.8987,2023-08-21,1926,fire
41.1861,26.1737,2023-08-11,27,not fire
36.0714,27.8883,2023-08-04,1152,not fire
39.3208,22.7855,2023-07-07,1139,not fire
38.1299,23.4574,2023-07-19,1058,fire
36.099,27.9279,2023-08-02,1207,not fire
41.1404,26.1629,2023-08-31,1942,fire
41.0924,26.0803,2023-08-02,1148,not fire
38.157,23.5521,2023-07-19,849,fire
40.909,25.7862,2023-08-22,1148,fire
36.1102,27.9271,2023-08-12,817,not fire
41.0537,24.6789,2023-08-21,1926,fire
38.1394,23.4919,2023-07-18,51,fire
36.2213,27.9488,2023-08-12,1919,not fire
36.1251,27.9168,2023-07-24,857,fire
38.0389,24.5341,2023-07-04,857,not fire
39.3368,22.8613,2023-07-07,35,not fire
40.8755,25.7432,2023-08-02,1148,not fire
37.9547,23.0327,2023-07-08,51,not fire
36.23,27.9426,2023-07-19,850,fire
36.0796,27.8853,2023-07-06,1056,not fire
38.157,23.5521,2023-07-09,849,not fire
36.096,27.9409,2023-08-11,2016,not fire
41.1938,26.1886,2023-08-11,27,not fire
36.07,27.9014,2023-08-14,800,not fire
41.0322,25.9243,2023-08-04,28,not fire
40.9062,25.6801,2023-08-12,2007,not fire
40.8799,25.9593,2023-08-09,1943,not fire
38.3442,22.7439,2023-08-22,2006,fire
40.9313,26.0537,2023-08-19,1943,fire
38.0366,24.532,2023-07-23,1207,fire
39.7415,19.893,2023-08-02,2058,not fire
40.9848,26.1331,2023-08-12,2007,not fire
40.8837,25.8,2023-08-02,43,not fire
40.959,25.888,2023-08-01,1926,not fire
36.0074,27.8698,2023-07-25,2040,fire
40.8874,26.0871,2023-08-10,919,not fire
36.096,27.9409,2023-07-12,2016,not fire
39.7515,19.9095,2023-08-13,7,not fire
40.9198,25.8159,2023-08-22,902,fire
36.0074,27.8698,2023-07-15,2040,not fire
38.1398,23.5372,2023-07-28,1154,not fire
36.0966,27.9237,2023-08-02,1919,not fire
36.2328,27.9604,2023-07-08,2355,not fire
38.152,22.2018,2023-08-12,1919,not fire
40.8716,26.0257,2023-08-29,1943,not fire
39.3321,22.8206,2023-07-27,35,fire
37.8141,23.9465,2023-07-17,1113,fire
36.0949,27.9392,2023-08-12,104,not fire
40.938,26.0888,2023-08-12,1148,not fire
36.039,27.8979,2023-07-15,1902,not fire
38.3274,22.7335,2023-08-02,903,not fire
